Type,MD Suite,Engine,Model,Error_E,Error_F,Cost
GM-NN,LAMMPS,CPU,593-512-512-1,2.32,43,43.81
GM-NN,LAMMPS,CPU,593-128-128-1,2.42,46,40.42
GM-NN,LAMMPS,CPU,593-32-32-1,2.56,48,37.54
GM-NN,LAMMPS,CPU,360-512-512-1,2.79,51,44.25
GM-NN,LAMMPS,CPU,910-512-512-1,2.14,42,50.04
GM-NN,LAMMPS,GPU,593-512-512-1,2.32,43,7.25
GM-NN,LAMMPS,GPU,593-128-128-1,2.42,46,7.47
GM-NN,LAMMPS,GPU,593-32-32-1,2.56,48,7.28
GM-NN,LAMMPS,GPU,360-512-512-1,2.79,51,7.3
GM-NN,LAMMPS,GPU,910-512-512-1,2.14,42,7.23
MTP,LAMMPS,CPU,lev16,3.48,71,3.45
MTP,LAMMPS,CPU,lev20,3.33,65,7.69
MTP,LAMMPS,CPU,lev24,2.68,54,17.57
MTP,LAMMPS,CPU,lev26,2.58,57,25.1
MTP,LAMMPS,CPU,lev28,2.34,53,43.78
Classical,LAMMPS,CPU, EAM,37.14,443,0.5
Classical,LAMMPS,CPU, MEAM,36.8,393,6.2
MACE,LAMMPS,CPU,Standard,1.57,61,151.9
MACE,LAMMPS,GPU,Standard,1.57,61,2.639351852
MACE,ASE,GPU,Standard,1.57,61,0.1759
MACE,ASE,CPU,Standard,1.57,61,7.465
NequIP,ASE,GPU,Standard,3.78,82,0.160185185
NequIP,ASE,CPU,Standard,3.78,82,8.190740741
NequIP,LAMMPS,CPU,Standard,3.78,82,7.077083333
NequIP,LAMMPS,GPU,Standard,3.78,82,0.121759259
Allegro,ASE,GPU,Standard,3.51,72,0.389583333
Allegro,ASE,CPU,Standard,3.51,72,23.71134259
Allegro,LAMMPS,CPU,Standard,3.51,72,23.32152778
Allegro,LAMMPS,GPU,Standard,3.51,72,0.371296296
